2025-06-01T18:19:07.374013
[INFO] Getting and transforming the data...
[INFO] Training set size = 60000, Test set size = 10000
[INFO] Using device: cuda
[INFO] Data directory: /home/admin/.cache/ml/datasets/neuronal-decay, Results directory: ./out/results, Logs directory: ./out/logs
[INFO] Hyperparameters: batch_size=512, rotations=(0, 80, 160), learning_rate=0.001, n_batches_per_task=500, test_size=2000, n_neurons=2048, decay_lambda=1e-05
[INFO] Domain variables: n_tasks=3, n_classes=10, img_n_channels=1, img_size=28
~~~~~~~~~~~~~~~~~~~ Running experiment 1~~~~~~~~~~~~~~~~~~~~
==================== Training on task 1 ====================
Training loss: 2.300141 | Test accuracy (task 1): 17.97% | Batch: 0
Training loss: 0.146937 | Test accuracy (task 1): 96.13% | Batch: 375
Training loss: 0.142475 | Test accuracy (task 1): 96.29% | Batch: 400
Training loss: 0.150150 | Test accuracy (task 1): 95.96% | Batch: 425
Training loss: 0.152304 | Test accuracy (task 1): 97.17% | Batch: 450
Training loss: 0.163518 | Test accuracy (task 1): 96.84% | Batch: 475
Experiment 6 done!
~~~~~~~~~~~~~~~~~~~ Running experiment 7~~~~~~~~~~~~~~~~~~~~
==================== Training on task 1 ====================
Training loss: 2.297974 | Test accuracy (task 1): 11.38% | Batch: 0
Training loss: 1.052780 | Test accuracy (task 1): 82.62% | Batch: 25
Training loss: 0.487120 | Test accuracy (task 1): 88.13% | Batch: 50
Training loss: 0.295314 | Test accuracy (task 1): 90.28% | Batch: 75
Training loss: 0.377044 | Test accuracy (task 1): 92.58% | Batch: 100
Training loss: 0.254700 | Test accuracy (task 1): 92.38% | Batch: 125
Training loss: 0.290534 | Test accuracy (task 1): 92.48% | Batch: 150
Training loss: 0.239665 | Test accuracy (task 1): 94.34% | Batch: 175
Training loss: 0.268297 | Test accuracy (task 1): 93.65% | Batch: 200
Training loss: 0.217206 | Test accuracy (task 1): 93.65% | Batch: 225
Training loss: 0.176908 | Test accuracy (task 1): 93.80% | Batch: 250
Training loss: 0.228103 | Test accuracy (task 1): 94.19% | Batch: 275
Training loss: 0.150840 | Test accuracy (task 1): 93.99% | Batch: 300
Training loss: 0.199029 | Test accuracy (task 1): 94.78% | Batch: 325
Training loss: 0.158811 | Test accuracy (task 1): 94.68% | Batch: 350
Training loss: 0.134149 | Test accuracy (task 1): 95.02% | Batch: 375
Training loss: 0.122310 | Test accuracy (task 1): 95.31% | Batch: 400
Training loss: 0.165011 | Test accuracy (task 1): 95.65% | Batch: 425
Training loss: 0.141479 | Test accuracy (task 1): 95.41% | Batch: 450
Training loss: 0.099699 | Test accuracy (task 1): 95.61% | Batch: 475
==================== Training on task 2 ====================
Training loss: 2.624966 | Test accuracy (task 1): 96.09% | Batch: 0
Training loss: 0.462576 | Test accuracy (task 1): 88.48% | Batch: 25
Training loss: 0.332696 | Test accuracy (task 1): 92.33% | Batch: 50
Training loss: 0.278749 | Test accuracy (task 1): 92.77% | Batch: 75
Training loss: 0.256434 | Test accuracy (task 1): 94.78% | Batch: 100
Training loss: 0.253782 | Test accuracy (task 1): 94.63% | Batch: 125
Training loss: 0.245270 | Test accuracy (task 1): 94.97% | Batch: 150
Training loss: 0.215414 | Test accuracy (task 1): 95.21% | Batch: 175
Training loss: 0.203986 | Test accuracy (task 1): 95.17% | Batch: 200
Training loss: 0.192133 | Test accuracy (task 1): 95.41% | Batch: 225
Training loss: 0.193014 | Test accuracy (task 1): 95.56% | Batch: 250
Training loss: 0.167523 | Test accuracy (task 1): 94.68% | Batch: 275
Training loss: 0.178259 | Test accuracy (task 1): 94.78% | Batch: 300
Training loss: 0.141557 | Test accuracy (task 1): 95.07% | Batch: 325
Training loss: 0.152515 | Test accuracy (task 1): 95.65% | Batch: 350
Training loss: 0.173253 | Test accuracy (task 1): 96.14% | Batch: 375
Training loss: 0.186173 | Test accuracy (task 1): 96.39% | Batch: 400
Training loss: 0.134785 | Test accuracy (task 1): 96.58% | Batch: 425
Training loss: 0.111783 | Test accuracy (task 1): 96.53% | Batch: 450
Training loss: 0.116513 | Test accuracy (task 1): 96.00% | Batch: 475
==================== Training on task 3 ====================
Training loss: 1.586137 | Test accuracy (task 1): 96.39% | Batch: 0
Training loss: 0.365238 | Test accuracy (task 1): 88.61% | Batch: 25
Training loss: 0.264775 | Test accuracy (task 1): 94.17% | Batch: 50
Training loss: 0.228342 | Test accuracy (task 1): 93.75% | Batch: 75
Training loss: 0.228922 | Test accuracy (task 1): 94.47% | Batch: 100
Training loss: 0.185008 | Test accuracy (task 1): 94.69% | Batch: 125
Training loss: 0.188572 | Test accuracy (task 1): 95.51% | Batch: 150
Training loss: 0.157534 | Test accuracy (task 1): 95.02% | Batch: 175
Training loss: 0.174075 | Test accuracy (task 1): 95.67% | Batch: 200
Training loss: 0.194424 | Test accuracy (task 1): 95.90% | Batch: 225
Training loss: 0.147939 | Test accuracy (task 1): 95.41% | Batch: 250
Training loss: 0.153136 | Test accuracy (task 1): 96.45% | Batch: 275
Training loss: 0.127804 | Test accuracy (task 1): 96.16% | Batch: 300
Training loss: 0.146736 | Test accuracy (task 1): 96.52% | Batch: 325
Training loss: 0.143454 | Test accuracy (task 1): 96.03% | Batch: 350
Training loss: 0.120717 | Test accuracy (task 1): 96.42% | Batch: 375
Training loss: 0.116580 | Test accuracy (task 1): 96.13% | Batch: 400
Training loss: 0.114863 | Test accuracy (task 1): 96.22% | Batch: 425
Training loss: 0.123311 | Test accuracy (task 1): 96.55% | Batch: 450
Training loss: 0.098837 | Test accuracy (task 1): 96.39% | Batch: 475
Experiment 7 done!
~~~~~~~~~~~~~~~~~~~ Running experiment 8~~~~~~~~~~~~~~~~~~~~
==================== Training on task 1 ====================
Training loss: 2.545623 | Test accuracy (task 1): 09.67% | Batch: 0
Training loss: 1.715418 | Test accuracy (task 1): 77.88% | Batch: 25
Training loss: 1.201953 | Test accuracy (task 1): 88.67% | Batch: 50
Training loss: 0.822289 | Test accuracy (task 1): 91.31% | Batch: 75
Training loss: 0.709450 | Test accuracy (task 1): 92.97% | Batch: 100
Training loss: 0.603055 | Test accuracy (task 1): 93.60% | Batch: 125
Training loss: 0.546507 | Test accuracy (task 1): 94.53% | Batch: 150
Training loss: 0.497077 | Test accuracy (task 1): 94.63% | Batch: 175
Training loss: 0.405341 | Test accuracy (task 1): 95.61% | Batch: 200
Training loss: 0.446235 | Test accuracy (task 1): 95.70% | Batch: 225
Training loss: 0.378504 | Test accuracy (task 1): 96.14% | Batch: 250
Training loss: 0.358042 | Test accuracy (task 1): 96.09% | Batch: 275
Training loss: 0.335816 | Test accuracy (task 1): 96.09% | Batch: 300
Training loss: 0.327371 | Test accuracy (task 1): 97.12% | Batch: 325
Training loss: 0.318283 | Test accuracy (task 1): 97.02% | Batch: 350
Training loss: 0.298212 | Test accuracy (task 1): 96.88% | Batch: 375
Training loss: 0.259378 | Test accuracy (task 1): 96.58% | Batch: 400
Training loss: 0.278175 | Test accuracy (task 1): 97.95% | Batch: 425
Training loss: 0.270817 | Test accuracy (task 1): 97.12% | Batch: 450
Training loss: 0.239914 | Test accuracy (task 1): 97.07% | Batch: 475
==================== Training on task 2 ====================
Training loss: 1.786521 | Test accuracy (task 1): 97.41% | Batch: 0
Training loss: 0.595785 | Test accuracy (task 1): 95.12% | Batch: 25
Training loss: 0.491551 | Test accuracy (task 1): 96.48% | Batch: 50
Training loss: 0.435057 | Test accuracy (task 1): 96.44% | Batch: 75
Training loss: 0.397613 | Test accuracy (task 1): 96.09% | Batch: 100
Training loss: 0.380332 | Test accuracy (task 1): 97.75% | Batch: 125
Training loss: 0.331982 | Test accuracy (task 1): 97.12% | Batch: 150
Training loss: 0.316875 | Test accuracy (task 1): 97.12% | Batch: 175
Training loss: 0.319896 | Test accuracy (task 1): 97.61% | Batch: 200
Training loss: 0.302980 | Test accuracy (task 1): 97.61% | Batch: 225
Training loss: 0.299853 | Test accuracy (task 1): 97.27% | Batch: 250
Training loss: 0.291854 | Test accuracy (task 1): 97.36% | Batch: 275
Training loss: 0.281389 | Test accuracy (task 1): 96.78% | Batch: 300
Training loss: 0.254005 | Test accuracy (task 1): 97.75% | Batch: 325
Training loss: 0.262072 | Test accuracy (task 1): 97.71% | Batch: 350
Training loss: 0.232532 | Test accuracy (task 1): 97.46% | Batch: 375
Training loss: 0.227996 | Test accuracy (task 1): 97.66% | Batch: 400
Training loss: 0.234076 | Test accuracy (task 1): 97.61% | Batch: 425
Training loss: 0.217774 | Test accuracy (task 1): 97.61% | Batch: 450
Training loss: 0.222146 | Test accuracy (task 1): 97.66% | Batch: 475
==================== Training on task 3 ====================
Training loss: 1.124533 | Test accuracy (task 1): 97.56% | Batch: 0
Training loss: 0.413168 | Test accuracy (task 1): 96.06% | Batch: 25
Training loss: 0.368664 | Test accuracy (task 1): 96.68% | Batch: 50
Training loss: 0.339031 | Test accuracy (task 1): 96.68% | Batch: 75
Training loss: 0.304637 | Test accuracy (task 1): 97.30% | Batch: 100
Training loss: 0.285154 | Test accuracy (task 1): 97.69% | Batch: 125
Training loss: 0.284478 | Test accuracy (task 1): 97.33% | Batch: 150
Training loss: 0.262881 | Test accuracy (task 1): 97.36% | Batch: 175
Training loss: 0.264415 | Test accuracy (task 1): 97.40% | Batch: 200
Training loss: 0.270308 | Test accuracy (task 1): 97.62% | Batch: 225
Training loss: 0.244152 | Test accuracy (task 1): 97.66% | Batch: 250
Training loss: 0.242499 | Test accuracy (task 1): 97.33% | Batch: 275
Training loss: 0.223297 | Test accuracy (task 1): 97.79% | Batch: 300
Training loss: 0.232550 | Test accuracy (task 1): 97.69% | Batch: 325
Training loss: 0.228222 | Test accuracy (task 1): 97.30% | Batch: 350
Training loss: 0.217534 | Test accuracy (task 1): 97.43% | Batch: 375
Training loss: 0.212838 | Test accuracy (task 1): 97.72% | Batch: 400
Training loss: 0.199100 | Test accuracy (task 1): 97.79% | Batch: 425
Training loss: 0.205613 | Test accuracy (task 1): 97.75% | Batch: 450
Training loss: 0.194278 | Test accuracy (task 1): 97.62% | Batch: 475
Experiment 8 done!
~~~~~~~~~~~~~~~~~~~ Running experiment 9~~~~~~~~~~~~~~~~~~~~
==================== Training on task 1 ====================
Training loss: 2.301775 | Test accuracy (task 1): 09.03% | Batch: 0
Training loss: 0.335134 | Test accuracy (task 1): 91.46% | Batch: 25
Training loss: 0.177597 | Test accuracy (task 1): 94.68% | Batch: 50
Training loss: 0.180726 | Test accuracy (task 1): 94.24% | Batch: 75
Training loss: 0.209519 | Test accuracy (task 1): 95.26% | Batch: 100
Training loss: 0.131145 | Test accuracy (task 1): 95.90% | Batch: 125
Training loss: 0.138664 | Test accuracy (task 1): 95.90% | Batch: 150
Training loss: 0.158869 | Test accuracy (task 1): 97.12% | Batch: 175
Training loss: 0.115421 | Test accuracy (task 1): 95.95% | Batch: 200
Training loss: 0.174723 | Test accuracy (task 1): 96.29% | Batch: 225
Training loss: 0.069390 | Test accuracy (task 1): 96.09% | Batch: 250
Training loss: 0.099634 | Test accuracy (task 1): 96.63% | Batch: 275
Training loss: 0.056267 | Test accuracy (task 1): 96.92% | Batch: 300
Training loss: 0.062655 | Test accuracy (task 1): 96.88% | Batch: 325
Training loss: 0.061749 | Test accuracy (task 1): 97.46% | Batch: 350
Training loss: 0.068283 | Test accuracy (task 1): 96.53% | Batch: 375
Training loss: 0.043011 | Test accuracy (task 1): 96.78% | Batch: 400
Training loss: 0.089446 | Test accuracy (task 1): 96.14% | Batch: 425
Training loss: 0.033352 | Test accuracy (task 1): 97.31% | Batch: 450
Training loss: 0.093323 | Test accuracy (task 1): 96.83% | Batch: 475
==================== Training on task 2 ====================
Training loss: 4.393615 | Test accuracy (task 1): 96.04% | Batch: 0
Training loss: 0.282729 | Test accuracy (task 1): 93.90% | Batch: 25
Training loss: 0.164144 | Test accuracy (task 1): 95.90% | Batch: 50
Training loss: 0.166338 | Test accuracy (task 1): 95.51% | Batch: 75
Training loss: 0.128927 | Test accuracy (task 1): 96.00% | Batch: 100
Training loss: 0.128195 | Test accuracy (task 1): 97.12% | Batch: 125
Training loss: 0.093364 | Test accuracy (task 1): 96.92% | Batch: 150
Training loss: 0.088034 | Test accuracy (task 1): 97.46% | Batch: 175
Training loss: 0.108947 | Test accuracy (task 1): 96.78% | Batch: 200
Training loss: 0.078519 | Test accuracy (task 1): 96.63% | Batch: 225
Training loss: 0.087005 | Test accuracy (task 1): 97.02% | Batch: 250
Training loss: 0.079193 | Test accuracy (task 1): 96.78% | Batch: 275
Training loss: 0.057353 | Test accuracy (task 1): 96.78% | Batch: 300
Training loss: 0.105719 | Test accuracy (task 1): 97.07% | Batch: 325
Training loss: 0.054148 | Test accuracy (task 1): 96.58% | Batch: 350
Training loss: 0.062384 | Test accuracy (task 1): 96.58% | Batch: 375
Training loss: 0.061625 | Test accuracy (task 1): 96.88% | Batch: 400
Training loss: 0.052356 | Test accuracy (task 1): 97.17% | Batch: 425
Training loss: 0.064002 | Test accuracy (task 1): 97.36% | Batch: 450
Training loss: 0.048367 | Test accuracy (task 1): 97.02% | Batch: 475
==================== Training on task 3 ====================
Training loss: 2.614484 | Test accuracy (task 1): 96.97% | Batch: 0
Training loss: 0.263102 | Test accuracy (task 1): 93.88% | Batch: 25
Training loss: 0.133822 | Test accuracy (task 1): 96.03% | Batch: 50
Training loss: 0.146688 | Test accuracy (task 1): 96.29% | Batch: 75
Training loss: 0.142506 | Test accuracy (task 1): 96.22% | Batch: 100
Training loss: 0.104888 | Test accuracy (task 1): 95.74% | Batch: 125
Training loss: 0.118455 | Test accuracy (task 1): 97.07% | Batch: 150
Training loss: 0.103095 | Test accuracy (task 1): 96.58% | Batch: 175
Training loss: 0.081853 | Test accuracy (task 1): 96.74% | Batch: 200
Training loss: 0.116297 | Test accuracy (task 1): 96.61% | Batch: 225
Training loss: 0.071319 | Test accuracy (task 1): 97.10% | Batch: 250
Training loss: 0.063626 | Test accuracy (task 1): 96.88% | Batch: 275
Training loss: 0.059018 | Test accuracy (task 1): 97.30% | Batch: 300
Training loss: 0.048404 | Test accuracy (task 1): 97.49% | Batch: 325
Training loss: 0.064720 | Test accuracy (task 1): 97.27% | Batch: 350
Training loss: 0.066461 | Test accuracy (task 1): 96.84% | Batch: 375
Training loss: 0.046649 | Test accuracy (task 1): 97.69% | Batch: 400
Training loss: 0.075410 | Test accuracy (task 1): 96.74% | Batch: 425
Training loss: 0.040897 | Test accuracy (task 1): 97.10% | Batch: 450
Training loss: 0.040634 | Test accuracy (task 1): 96.48% | Batch: 475
Experiment 9 done!
~~~~~~~~~~~~~~~~~~~ Running experiment 10~~~~~~~~~~~~~~~~~~~
==================== Training on task 1 ====================
Training loss: 2.535535 | Test accuracy (task 1): 10.55% | Batch: 0
Training loss: 0.450883 | Test accuracy (task 1): 91.70% | Batch: 25
Training loss: 0.290853 | Test accuracy (task 1): 94.09% | Batch: 50
Training loss: 0.335431 | Test accuracy (task 1): 93.70% | Batch: 75
Training loss: 0.265186 | Test accuracy (task 1): 93.36% | Batch: 100
Training loss: 0.255144 | Test accuracy (task 1): 95.41% | Batch: 125
Training loss: 0.208339 | Test accuracy (task 1): 94.97% | Batch: 150
Training loss: 0.277140 | Test accuracy (task 1): 94.87% | Batch: 175
Training loss: 0.219930 | Test accuracy (task 1): 94.73% | Batch: 200
Training loss: 0.298259 | Test accuracy (task 1): 94.73% | Batch: 225
Training loss: 0.222528 | Test accuracy (task 1): 93.95% | Batch: 250
Training loss: 0.237019 | Test accuracy (task 1): 94.97% | Batch: 275
Training loss: 0.226722 | Test accuracy (task 1): 96.14% | Batch: 300
Training loss: 0.242005 | Test accuracy (task 1): 94.09% | Batch: 325
Training loss: 0.266950 | Test accuracy (task 1): 94.78% | Batch: 350
Training loss: 0.221016 | Test accuracy (task 1): 94.92% | Batch: 375
Training loss: 0.177945 | Test accuracy (task 1): 94.34% | Batch: 400
Training loss: 0.241115 | Test accuracy (task 1): 95.21% | Batch: 425
Training loss: 0.197181 | Test accuracy (task 1): 94.43% | Batch: 450
Training loss: 0.271259 | Test accuracy (task 1): 94.29% | Batch: 475
==================== Training on task 2 ====================
Training loss: 2.747085 | Test accuracy (task 1): 94.92% | Batch: 0
Training loss: 0.681002 | Test accuracy (task 1): 91.99% | Batch: 25
Training loss: 0.530958 | Test accuracy (task 1): 94.09% | Batch: 50
Training loss: 0.419020 | Test accuracy (task 1): 93.41% | Batch: 75
Training loss: 0.402582 | Test accuracy (task 1): 93.65% | Batch: 100
Training loss: 0.395140 | Test accuracy (task 1): 93.60% | Batch: 125
Training loss: 0.369255 | Test accuracy (task 1): 94.09% | Batch: 150
Training loss: 0.353108 | Test accuracy (task 1): 94.38% | Batch: 175
Training loss: 0.285405 | Test accuracy (task 1): 94.87% | Batch: 200
Training loss: 0.342612 | Test accuracy (task 1): 93.99% | Batch: 225
Training loss: 0.333927 | Test accuracy (task 1): 94.53% | Batch: 250
Training loss: 0.326317 | Test accuracy (task 1): 94.58% | Batch: 275
Training loss: 0.294230 | Test accuracy (task 1): 92.53% | Batch: 300
Training loss: 0.339928 | Test accuracy (task 1): 93.75% | Batch: 325
Training loss: 0.322412 | Test accuracy (task 1): 93.55% | Batch: 350
Training loss: 0.309941 | Test accuracy (task 1): 95.07% | Batch: 375
Training loss: 0.321781 | Test accuracy (task 1): 93.70% | Batch: 400
Training loss: 0.298228 | Test accuracy (task 1): 93.55% | Batch: 425
Training loss: 0.352013 | Test accuracy (task 1): 94.73% | Batch: 450
Training loss: 0.334261 | Test accuracy (task 1): 94.48% | Batch: 475
==================== Training on task 3 ====================
Training loss: 1.551540 | Test accuracy (task 1): 94.14% | Batch: 0
Training loss: 0.661118 | Test accuracy (task 1): 91.76% | Batch: 25
Training loss: 0.497363 | Test accuracy (task 1): 91.99% | Batch: 50
Training loss: 0.506237 | Test accuracy (task 1): 92.15% | Batch: 75
Training loss: 0.461662 | Test accuracy (task 1): 92.58% | Batch: 100
Training loss: 0.475374 | Test accuracy (task 1): 92.90% | Batch: 125
Training loss: 0.424265 | Test accuracy (task 1): 91.70% | Batch: 150
Training loss: 0.391650 | Test accuracy (task 1): 92.77% | Batch: 175
Training loss: 0.399984 | Test accuracy (task 1): 91.63% | Batch: 200
Training loss: 0.397184 | Test accuracy (task 1): 92.22% | Batch: 225
Training loss: 0.373335 | Test accuracy (task 1): 92.45% | Batch: 250
Training loss: 0.399370 | Test accuracy (task 1): 91.67% | Batch: 275
Training loss: 0.398029 | Test accuracy (task 1): 92.42% | Batch: 300
Training loss: 0.382232 | Test accuracy (task 1): 93.23% | Batch: 325
Training loss: 0.390187 | Test accuracy (task 1): 92.12% | Batch: 350
Training loss: 0.356274 | Test accuracy (task 1): 92.42% | Batch: 375
Training loss: 0.379612 | Test accuracy (task 1): 92.38% | Batch: 400
Training loss: 0.357550 | Test accuracy (task 1): 92.81% | Batch: 425
Training loss: 0.373997 | Test accuracy (task 1): 92.06% | Batch: 450
Training loss: 0.393916 | Test accuracy (task 1): 92.35% | Batch: 475
Experiment 10 done!
~~~~~~~~~~~~~~~~~~~ Running experiment 11~~~~~~~~~~~~~~~~~~~
==================== Training on task 1 ====================
Training loss: 2.300379 | Test accuracy (task 1): 12.06% | Batch: 0
Training loss: 0.325996 | Test accuracy (task 1): 91.41% | Batch: 25
Training loss: 0.218709 | Test accuracy (task 1): 93.75% | Batch: 50
Training loss: 0.218933 | Test accuracy (task 1): 94.14% | Batch: 75
Training loss: 0.124426 | Test accuracy (task 1): 96.48% | Batch: 100
Training loss: 0.125509 | Test accuracy (task 1): 96.00% | Batch: 125
Training loss: 0.105697 | Test accuracy (task 1): 96.92% | Batch: 150
Training loss: 0.112524 | Test accuracy (task 1): 96.44% | Batch: 175
